ID,Pokemon,Japanese,Species,Stats,Types,Resistances,Weaknesses,Images,Description,Abilities,Evolution
#024,Arbok,Arbok,Cobra Pokémon,"['HP: 60', 'Attack: 85', 'Defense: 69', 'Sp.Atk: 65', 'Sp.Def: 79', 'Speed: 80', 'Total: 438']",Poison,"['Poison 0.5x', 'Fighting 0.5x', 'Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x']","['Ground 2x', 'Psychic 2x']",https://cdn.bulbagarden.net/upload/thumb/c/cd/024Arbok.png/250px-024Arbok.png,It is rumored that the ferocious warning markings on its belly differ from area to area.,"['Intimidate or Shed Skin', 'Unnerve (Hidden Ability)']",
#025,Pikachu,Pikachu,Mouse Pokémon,"['HP: 35', 'Attack: 55', 'Defense: 30', 'Sp.Atk: 50', 'Sp.Def: 40', 'Speed: 90', 'Total: 300']",Electric,"['Flying 0.5x', 'Electric 0.5x', 'Steel 0.5x']",['Ground 2x'],https://cdn.bulbagarden.net/upload/thumb/0/0d/025Pikachu.png/250px-025Pikachu.png,"When several of these Pokémon gather, their electricity could build and cause lightning storms.","['Static (Pikachu)', 'Lightning Rod  (Cosplay Pikachu)', 'Lightning Rod (Hidden Ability)']",
#026,Raichu,Raichu,Mouse Pokémon,"['HP: 60', 'Attack: 90', 'Defense: 55', 'Sp.Atk: 90', 'Sp.Def: 80', 'Speed: 100', 'Total: 475']",Electric,"['Flying 0.5x', 'Electric 0.5x', 'Steel 0.5x']",['Ground 2x'],https://cdn.bulbagarden.net/upload/thumb/8/88/026Raichu.png/250px-026Raichu.png,Its long tail serves as a ground to protect itself from its own high voltage power.,"['Static (Raichu)', 'Surge Surfer (Alolan Raichu)', 'Lightning Rod (Raichu Hidden Ability)']",
#027,Sandshrew,Sand,Mouse Pokémon,"['HP: 50', 'Attack: 75', 'Defense: 85', 'Sp.Atk: 20', 'Sp.Def: 30', 'Speed: 40', 'Total: 300']",Ground,"['Poison 0.5x', 'Rock 0.5x']","['Grass 2x', 'Water 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/9/9e/027Sandshrew.png/250px-027Sandshrew.png,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,"['Sand Veil (Sandshrew)', 'Snow Cloak (Alolan Sandshrew)', 'Sand Rush (Sandshrew Hidden Ability)', 'Slush Rush (Alolan Sandshrew Hidden Ability)']",
#028,Sandslash,Sandpan,Mouse Pokémon,"['HP: 75', 'Attack: 100', 'Defense: 110', 'Sp.Atk: 45', 'Sp.Def: 55', 'Speed: 65', 'Total: 450']",Ground,"['Poison 0.5x', 'Rock 0.5x']","['Grass 2x', 'Water 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/0/0b/028Sandslash.png/250px-028Sandslash.png,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,"['Sand Veil (Sandslash)', 'Snow Cloak (Alolan Sandslash)', 'Sand Rush (Sandslash Hidden Ability)', 'Slush Rush (Alolan Sandslash Hidden Ability)']",
#030,Nidorina,Nidorina,Poison Pin Pokémon,"['HP: 70', 'Attack: 62', 'Defense: 67', 'Sp.Atk: 55', 'Sp.Def: 55', 'Speed: 56', 'Total: 365']",Poison,"['Poison 0.5x', 'Fighting 0.5x', 'Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x']","['Ground 2x', 'Psychic 2x']",https://cdn.bulbagarden.net/upload/thumb/c/cd/030Nidorina.png/250px-030Nidorina.png,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,"['Poison Point or Rivalry', 'Hustle (Hidden Ability)']",
#031,Nidoqueen,Nidoqueen,Drill Pokémon,"['HP: 90', 'Attack: 82', 'Defense: 87', 'Sp.Atk: 75', 'Sp.Def: 85', 'Speed: 76', 'Total: 495']",Poison/Ground,"['Poison 0.25x', 'Rock 0.5x', 'Fighting 0.5x', 'Bug 0.5x', 'Fairy 0.5x']","['Ground 2x', 'Psychic 2x', 'Water 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/b/bf/031Nidoqueen.png/250px-031Nidoqueen.png,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,"['Poison Point or Rivalry', 'Sheer Force (Hidden Ability)']",
#033,Nidorino,Nidorino,Poison Pin Pokémon,"['HP: 61', 'Attack: 72', 'Defense: 57', 'Sp.Atk: 55', 'Sp.Def: 55', 'Speed: 65', 'Total: 365']",Poison,"['Poison 0.5x', 'Fighting 0.5x', 'Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x']","['Ground 2x', 'Psychic 2x']",https://cdn.bulbagarden.net/upload/thumb/9/9f/033Nidorino.png/250px-033Nidorino.png,An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.,"['Poison Point or Rivalry', 'Hustle (Hidden Ability)']",
#034,Nidoking,Nidoking,Drill Pokémon,"['HP: 81', 'Attack: 92', 'Defense: 77', 'Sp.Atk: 85', 'Sp.Def: 75', 'Speed: 85', 'Total: 495']",Poison/Ground,"['Poison 0.25x', 'Rock 0.5x', 'Fighting 0.5x', 'Bug 0.5x', 'Fairy 0.5x']","['Ground 2x', 'Psychic 2x', 'Water 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/c/c6/034Nidoking.png/250px-034Nidoking.png,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.","['Poison Point or Rivalry', 'Sheer Force (Hidden Ability)']",
#035,Clefairy,Pippi,Fairy Pokémon,"['HP: 70', 'Attack: 45', 'Defense: 48', 'Sp.Atk: 60', 'Sp.Def: 65', 'Speed: 35', 'Total: 323']",Fairy,"['Fighting 0.5x', 'Bug 0.5x', 'Dark 0.5x']","['Poison 2x', 'Steel 2x']",https://cdn.bulbagarden.net/upload/thumb/f/f4/035Clefairy.png/250px-035Clefairy.png,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,"['Cute Charm or Magic Guard', 'Friend Guard (Hidden Ability)']",
#036,Clefable,Pixy,Fairy Pokémon,"['HP: 95', 'Attack: 70', 'Defense: 73', 'Sp.Atk: 85', 'Sp.Def: 90', 'Speed: 60', 'Total: 473']",Fairy,"['Fighting 0.5x', 'Bug 0.5x', 'Dark 0.5x']","['Poison 2x', 'Steel 2x']",https://cdn.bulbagarden.net/upload/thumb/a/a9/036Clefable.png/250px-036Clefable.png,A timid fairy Pokémon that is rarely seen. It will run and hide the moment it senses people.,"['Cute Charm or Magic Guard', 'Unaware (Hidden Ability)']",
#037,Vulpix,Rokon,Fox Pokémon,"['HP: 38', 'Attack: 41', 'Defense: 40', 'Sp.Atk: 50', 'Sp.Def: 65', 'Speed: 65', 'Total: 299']",Fire,"['Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Ice 0.5x']","['Ground 2x', 'Rock 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/6/60/037Vulpix.png/250px-037Vulpix.png,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.","['Flash Fire (Vulpix)', 'Snow Cloak (Alolan Vulpix)', 'Drought (Vulpix Hidden Ability)', 'Snow Warning (Alolan Vulpix Hidden Ability)']",
#038,Ninetales,Kyukon,Fox Pokémon,"['HP: 73', 'Attack: 76', 'Defense: 75', 'Sp.Atk: 81', 'Sp.Def: 100', 'Speed: 100', 'Total: 505']",Fire,"['Bug 0.5x', 'Grass 0.5x', 'Fairy 0.5x', 'Steel 0.5x', 'Fire 0.5x', 'Ice 0.5x']","['Ground 2x', 'Rock 2x', 'Water 2x']",https://cdn.bulbagarden.net/upload/thumb/0/05/038Ninetales.png/250px-038Ninetales.png,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,"['Flash Fire (Ninetales)', 'Snow Cloak (Alolan Ninetales)', 'Drought (Ninetales Hidden Ability)', 'Snow Warning (Alolan Ninetales Hidden Ability)']",
#039,Jigglypuff,Purin,Balloon Pokémon,"['HP: 115', 'Attack: 45', 'Defense: 20', 'Sp.Atk: 45', 'Sp.Def: 25', 'Speed: 20', 'Total: 270']",Normal/Fairy,"['Bug 0.5x', 'Dark 0.5x']","['Poison 2x', 'Steel 2x']",https://cdn.bulbagarden.net/upload/thumb/3/3e/039Jigglypuff.png/250px-039Jigglypuff.png,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.","['Cute Charm or Competitive', 'Friend Guard (Hidden Ability)']",
#040,Wigglytuff,Pukurin,Balloon Pokémon,"['HP: 140', 'Attack: 70', 'Defense: 45', 'Sp.Atk: 75', 'Sp.Def: 50', 'Speed: 45', 'Total: 425']",Normal/Fairy,"['Bug 0.5x', 'Dark 0.5x']","['Poison 2x', 'Steel 2x']",https://cdn.bulbagarden.net/upload/thumb/9/92/040Wigglytuff.png/250px-040Wigglytuff.png,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.","['Cute Charm or Competitive', 'Frisk (Hidden Ability)']",
#041,Zubat,Zubat,Bat Pokémon,"['HP: 40', 'Attack: 45', 'Defense: 35', 'Sp.Atk: 30', 'Sp.Def: 40', 'Speed: 55', 'Total: 245']",Poison/Flying,"['Poison 0.5x', 'Fighting 0.25x', 'Bug 0.25x', 'Grass 0.25x', 'Fairy 0.5x']","['Rock 2x', 'Electric 2x', 'Psychic 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/d/da/041Zubat.png/250px-041Zubat.png,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,"['Inner Focus', 'Infiltrator (Hidden Ability)']",
#042,Golbat,Golbat,Bat Pokémon,"['HP: 75', 'Attack: 80', 'Defense: 70', 'Sp.Atk: 65', 'Sp.Def: 75', 'Speed: 90', 'Total: 455']",Poison/Flying,"['Poison 0.5x', 'Fighting 0.25x', 'Bug 0.25x', 'Grass 0.25x', 'Fairy 0.5x']","['Rock 2x', 'Electric 2x', 'Psychic 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/0/0c/042Golbat.png/250px-042Golbat.png,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.","['Inner Focus', 'Infiltrator (Hidden Ability)']",
#043,Oddish,Nazonokusa,Weed Pokémon,"['HP: 45', 'Attack: 50', 'Defense: 55', 'Sp.Atk: 75', 'Sp.Def: 65', 'Speed: 30', 'Total: 320']",Grass/Poison,"['Fighting 0.5x', 'Grass 0.25x', 'Electric 0.5x', 'Fairy 0.5x', 'Water 0.5x']","['Flying 2x', 'Psychic 2x', 'Fire 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/4/43/043Oddish.png/250px-043Oddish.png,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.","['Chlorophyll', 'Run Away (Hidden Ability)']",
#044,Gloom,Kusaihana,Weed Pokémon,"['HP: 60', 'Attack: 65', 'Defense: 70', 'Sp.Atk: 85', 'Sp.Def: 75', 'Speed: 40', 'Total: 395']",Grass/Poison,"['Fighting 0.5x', 'Grass 0.25x', 'Electric 0.5x', 'Fairy 0.5x', 'Water 0.5x']","['Flying 2x', 'Psychic 2x', 'Fire 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/2/2a/044Gloom.png/250px-044Gloom.png,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,"['Chlorophyll', 'Stench (Hidden Ability)']",
#045,Vileplume,Ruffresia,Flower Pokémon,"['HP: 75', 'Attack: 80', 'Defense: 85', 'Sp.Atk: 100', 'Sp.Def: 90', 'Speed: 50', 'Total: 480']",Grass/Poison,"['Fighting 0.5x', 'Grass 0.25x', 'Electric 0.5x', 'Fairy 0.5x', 'Water 0.5x']","['Flying 2x', 'Psychic 2x', 'Fire 2x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/6/6a/045Vileplume.png/250px-045Vileplume.png,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","['Chlorophyll', 'Effect Spore (Hidden Ability)']",
#046,Paras,Paras,Mushroom Pokémon,"['HP: 35', 'Attack: 70', 'Defense: 55', 'Sp.Atk: 45', 'Sp.Def: 55', 'Speed: 25', 'Total: 285']",Bug/Grass,"['Ground 0.25x', 'Fighting 0.5x', 'Grass 0.25x', 'Electric 0.5x', 'Water 0.5x']","['Flying 4x', 'Poison 2x', 'Rock 2x', 'Bug 2x', 'Fire 4x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/d/d4/046Paras.png/250px-046Paras.png,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.,"['Effect Spore or Dry Skin', 'Damp (Hidden Ability)']",
#047,Parasect,Parasect,Mushroom Pokémon,"['HP: 60', 'Attack: 95', 'Defense: 80', 'Sp.Atk: 60', 'Sp.Def: 80', 'Speed: 30', 'Total: 405']",Bug/Grass,"['Ground 0.25x', 'Fighting 0.5x', 'Grass 0.25x', 'Electric 0.5x', 'Water 0.5x']","['Flying 4x', 'Poison 2x', 'Rock 2x', 'Bug 2x', 'Fire 4x', 'Ice 2x']",https://cdn.bulbagarden.net/upload/thumb/8/80/047Parasect.png/250px-047Parasect.png,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,"['Effect Spore or Dry Skin', 'Damp (Hidden Ability)']",
#048,Venonat,Kongpang,Insect Pokémon,"['HP: 60', 'Attack: 55', 'Defense: 50', 'Sp.Atk: 40', 'Sp.Def: 55', 'Speed: 45', 'Total: 305']",Bug/Poison,"['Poison 0.5x', 'Fighting 0.25x', 'Bug 0.5x', 'Grass 0.25x', 'Fairy 0.5x']","['Flying 2x', 'Rock 2x', 'Psychic 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/a/ad/048Venonat.png/250px-048Venonat.png,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,"['Compound Eyes or Tinted Lens', 'Run Away (Hidden Ability)']",
#049,Venomoth,Morphon,Poison Moth Pokémon,"['HP: 70', 'Attack: 65', 'Defense: 60', 'Sp.Atk: 90', 'Sp.Def: 75', 'Speed: 90', 'Total: 450']",Bug/Poison,"['Poison 0.5x', 'Fighting 0.25x', 'Bug 0.5x', 'Grass 0.25x', 'Fairy 0.5x']","['Flying 2x', 'Rock 2x', 'Psychic 2x', 'Fire 2x']",https://cdn.bulbagarden.net/upload/thumb/d/d3/049Venomoth.png/250px-049Venomoth.png,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.,"['Shield Dust or Tinted Lens', 'Wonder Skin (Hidden Ability)']",
