Pokemon,Generation,Color,Moves,Versions
pidgeotto-1,1,0x999966,"[['1', 'Gust', 'Flying', '40', '100'], ['1', 'Sand Attack', 'Ground', '--', '100'], ['5', 'Sand Attack', 'Ground', '--', '100'], ['12', 'Quick Attack', 'Normal', '40', '100'], ['21', 'Whirlwind', 'Normal', '--', '--'], ['31', 'Wing Attack', 'Flying', '60', '100'], ['40', 'Agility', 'Psychic', '--', '--'], ['49', 'Mirror Move', 'Flying', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
pidgeot-1,1,0x999966,"[['1', 'Gust', 'Flying', '40', '100'], ['1', 'Quick Attack', 'Normal', '40', '100'], ['1', 'Sand Attack', 'Ground', '--', '100'], ['5', 'Sand Attack', 'Ground', '--', '100'], ['12', 'Quick Attack', 'Normal', '40', '100'], ['21', 'Whirlwind', 'Normal', '--', '--'], ['31', 'Wing Attack', 'Flying', '60', '100'], ['44', 'Agility', 'Psychic', '--', '--'], ['54', 'Mirror Move', 'Flying', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
rattata-1,1,0x999966,"[['1', 'Tackle', 'Normal', '40', '100'], ['1', 'Tail Whip', 'Normal', '--', '100'], ['7', 'Quick Attack', 'Normal', '40', '100'], ['14', 'Hyper Fang', 'Normal', '80', '90'], ['23', 'Focus Energy', 'Normal', '--', '--'], ['34', 'Super Fang', 'Normal', '--', '90']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
raticate-1,1,0x999966,"[['1', 'Quick Attack', 'Normal', '40', '100'], ['1', 'Tackle', 'Normal', '40', '100'], ['1', 'Tail Whip', 'Normal', '--', '100'], ['7', 'Quick Attack', 'Normal', '40', '100'], ['14', 'Hyper Fang', 'Normal', '80', '90'], ['27', 'Focus Energy', 'Normal', '--', '--'], ['41', 'Super Fang', 'Normal', '--', '90']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
spearow-1,1,0x999966,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Peck', 'Flying', '35', '100'], ['9', 'Leer', 'Normal', '--', '100'], ['15', 'Fury Attack', 'Normal', '15', '85'], ['22', 'Mirror Move', 'Flying', '--', '--'], ['29', 'Drill Peck', 'Flying', '80', '100'], ['36', 'Agility', 'Psychic', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
fearow-1,1,0x999966,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Leer', 'Normal', '--', '100'], ['1', 'Peck', 'Flying', '35', '100'], ['9', 'Leer', 'Normal', '--', '100'], ['15', 'Fury Attack', 'Normal', '15', '85'], ['25', 'Mirror Move', 'Flying', '--', '--'], ['34', 'Drill Peck', 'Flying', '80', '100'], ['43', 'Agility', 'Psychic', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
ekans-1,1,0x660099,"[['1', 'Leer', 'Normal', '--', '100'], ['1', 'Wrap', 'Normal', '15', '90'], ['10', 'Poison Sting', 'Poison', '15', '100'], ['17', 'Bite', 'Dark', '60', '100'], ['24', 'Glare', 'Normal', '--', '100'], ['31', 'Screech', 'Normal', '--', '85'], ['38', 'Acid', 'Poison', '40', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
arbok-1,1,0x660099,"[['1', 'Leer', 'Normal', '--', '100'], ['1', 'Poison Sting', 'Poison', '15', '100'], ['1', 'Wrap', 'Normal', '15', '90'], ['10', 'Poison Sting', 'Poison', '15', '100'], ['17', 'Bite', 'Dark', '60', '100'], ['27', 'Glare', 'Normal', '--', '100'], ['36', 'Screech', 'Normal', '--', '85'], ['47', 'Acid', 'Poison', '40', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
pikachu-1,1,0xFFFF00,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Thunder Shock', 'Electric', '40', '100'], ['9', 'Thunder Wave', 'Electric', '--', '90'], ['16', 'Quick Attack', 'Normal', '40', '100'], ['26', 'Swift', 'Normal', '60', '--'], ['33', 'Agility', 'Psychic', '--', '--'], ['43', 'Thunder', 'Electric', '110', '70']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
raichu-1,1,0xFFFF00,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Thunder Shock', 'Electric', '40', '100'], ['1', 'Thunder Wave', 'Electric', '--', '90']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
sandshrew-1,1,0xFFCC33,"[['1', 'Scratch', 'Normal', '40', '100'], ['10', 'Sand Attack', 'Ground', '--', '100'], ['17', 'Slash', 'Normal', '70', '100'], ['24', 'Poison Sting', 'Poison', '15', '100'], ['31', 'Swift', 'Normal', '60', '--'], ['38', 'Fury Swipes', 'Normal', '18', '80']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
sandslash-1,1,0xFFCC33,"[['1', 'Sand Attack', 'Ground', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['10', 'Sand Attack', 'Ground', '--', '100'], ['17', 'Slash', 'Normal', '70', '100'], ['27', 'Poison Sting', 'Poison', '15', '100'], ['36', 'Swift', 'Normal', '60', '--'], ['47', 'Fury Swipes', 'Normal', '18', '80']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
nidorina-1,1,0x660099,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['1', 'Tackle', 'Normal', '40', '100'], ['8', 'Scratch', 'Normal', '40', '100'], ['14', 'Poison Sting', 'Poison', '15', '100'], ['23', 'Tail Whip', 'Normal', '--', '100'], ['32', 'Bite', 'Dark', '60', '100'], ['41', 'Fury Swipes', 'Normal', '18', '80'], ['50', 'Double Kick', 'Fighting', '30', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
nidoqueen-1,1,0x660099,"[['1', 'Body Slam', 'Normal', '85', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['1', 'Tackle', 'Normal', '40', '100'], ['1', 'Tail Whip', 'Normal', '--', '100'], ['8', 'Scratch', 'Normal', '40', '100'], ['14', 'Poison Sting', 'Poison', '15', '100'], ['23', 'Body Slam', 'Normal', '85', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
nidorino-1,1,0x660099,"[['1', 'Horn Attack', 'Normal', '65', '100'], ['1', 'Leer', 'Normal', '--', '100'], ['1', 'Tackle', 'Normal', '40', '100'], ['8', 'Horn Attack', 'Normal', '65', '100'], ['14', 'Poison Sting', 'Poison', '15', '100'], ['23', 'Focus Energy', 'Normal', '--', '--'], ['32', 'Fury Attack', 'Normal', '15', '85'], ['41', 'Horn Drill', 'Normal', '--', '--'], ['50', 'Double Kick', 'Fighting', '30', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
nidoking-1,1,0x660099,"[['1', 'Horn Attack', 'Normal', '65', '100'], ['1', 'Poison Sting', 'Poison', '15', '100'], ['1', 'Tackle', 'Normal', '40', '100'], ['1', 'Thrash', 'Normal', '120', '100'], ['8', 'Horn Attack', 'Normal', '65', '100'], ['14', 'Poison Sting', 'Poison', '15', '100'], ['23', 'Thrash', 'Normal', '120', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
clefairy-1,1,0xFF99FF,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Pound', 'Normal', '40', '100'], ['13', 'Sing', 'Normal', '--', '55'], ['18', 'Double Slap', 'Normal', '15', '85'], ['24', 'Minimize', 'Normal', '--', '--'], ['31', 'Metronome', 'Normal', '--', '--'], ['39', 'Defense Curl', 'Normal', '--', '--'], ['48', 'Light Screen', 'Psychic', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
clefable-1,1,0xFF99FF,"[['1', 'Double Slap', 'Normal', '15', '85'], ['1', 'Metronome', 'Normal', '--', '--'], ['1', 'Minimize', 'Normal', '--', '--'], ['1', 'Sing', 'Normal', '--', '55']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
vulpix-1,1,0xFF6600,"[['1', 'Ember', 'Fire', '40', '100'], ['1', 'Tail Whip', 'Normal', '--', '100'], ['16', 'Quick Attack', 'Normal', '40', '100'], ['21', 'Roar', 'Normal', '--', '--'], ['28', 'Confuse Ray', 'Ghost', '--', '100'], ['35', 'Flamethrower', 'Fire', '90', '100'], ['42', 'Fire Spin', 'Fire', '35', '85']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
ninetales-1,1,0xFF6600,"[['1', 'Ember', 'Fire', '40', '100'], ['1', 'Quick Attack', 'Normal', '40', '100'], ['1', 'Roar', 'Normal', '--', '--'], ['1', 'Tail Whip', 'Normal', '--', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
jigglypuff-1,1,0x999966,"[['1', 'Sing', 'Normal', '--', '55'], ['9', 'Pound', 'Normal', '40', '100'], ['14', 'Disable', 'Normal', '--', '100'], ['19', 'Defense Curl', 'Normal', '--', '--'], ['24', 'Double Slap', 'Normal', '15', '85'], ['29', 'Rest', 'Psychic', '--', '--'], ['34', 'Body Slam', 'Normal', '85', '100'], ['39', 'Double-Edge', 'Normal', '120', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
wigglytuff-1,1,0x999966,"[['1', 'Defense Curl', 'Normal', '--', '--'], ['1', 'Disable', 'Normal', '--', '100'], ['1', 'Double Slap', 'Normal', '15', '85'], ['1', 'Sing', 'Normal', '--', '55']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
zubat-1,1,0x660099,"[['1', 'Leech Life', 'Bug', '80', '100'], ['10', 'Supersonic', 'Normal', '--', '55'], ['15', 'Bite', 'Dark', '60', '100'], ['21', 'Confuse Ray', 'Ghost', '--', '100'], ['28', 'Wing Attack', 'Flying', '60', '100'], ['36', 'Haze', 'Ice', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
golbat-1,1,0x660099,"[['1', 'Bite', 'Dark', '60', '100'], ['1', 'Leech Life', 'Bug', '80', '100'], ['1', 'Screech', 'Normal', '--', '85'], ['10', 'Supersonic', 'Normal', '--', '55'], ['15', 'Bite', 'Dark', '60', '100'], ['21', 'Confuse Ray', 'Ghost', '--', '100'], ['32', 'Wing Attack', 'Flying', '60', '100'], ['43', 'Haze', 'Ice', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
oddish-1,1,0x33FF00,"[['1', 'Absorb', 'Grass', '20', '100'], ['15', 'Poison Powder', 'Poison', '--', '75'], ['17', 'Stun Spore', 'Grass', '--', '75'], ['19', 'Sleep Powder', 'Grass', '--', '75'], ['24', 'Acid', 'Poison', '40', '100'], ['33', 'Petal Dance', 'Grass', '120', '100'], ['46', 'Solar Beam', 'Grass', '120', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
gloom-1,1,0x33FF00,"[['1', 'Absorb', 'Grass', '20', '100'], ['1', 'Poison Powder', 'Poison', '--', '75'], ['1', 'Stun Spore', 'Grass', '--', '75'], ['15', 'Poison Powder', 'Poison', '--', '75'], ['17', 'Stun Spore', 'Grass', '--', '75'], ['19', 'Sleep Powder', 'Grass', '--', '75'], ['28', 'Acid', 'Poison', '40', '100'], ['38', 'Petal Dance', 'Grass', '120', '100'], ['52', 'Solar Beam', 'Grass', '120', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
vileplume-1,1,0x33FF00,"[['1', 'Acid', 'Poison', '40', '100'], ['1', 'Petal Dance', 'Grass', '120', '100'], ['1', 'Sleep Powder', 'Grass', '--', '75'], ['1', 'Stun Spore', 'Grass', '--', '75'], ['15', 'Poison Powder', 'Poison', '--', '75'], ['17', 'Stun Spore', 'Grass', '--', '75'], ['19', 'Sleep Powder', 'Grass', '--', '75']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
paras-1,1,0x669900,"[['1', 'Scratch', 'Normal', '40', '100'], ['13', 'Stun Spore', 'Grass', '--', '75'], ['20', 'Leech Life', 'Bug', '80', '100'], ['27', 'Spore', 'Grass', '--', '100'], ['34', 'Slash', 'Normal', '70', '100'], ['41', 'Growth', 'Normal', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
parasect-1,1,0x669900,"[['1', 'Leech Life', 'Bug', '80', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['1', 'Stun Spore', 'Grass', '--', '75'], ['13', 'Stun Spore', 'Grass', '--', '75'], ['20', 'Leech Life', 'Bug', '80', '100'], ['30', 'Spore', 'Grass', '--', '100'], ['39', 'Slash', 'Normal', '70', '100'], ['48', 'Growth', 'Normal', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
venonat-1,1,0x669900,"[['1', 'Disable', 'Normal', '--', '100'], ['1', 'Tackle', 'Normal', '40', '100'], ['24', 'Poison Powder', 'Poison', '--', '75'], ['27', 'Leech Life', 'Bug', '80', '100'], ['30', 'Stun Spore', 'Grass', '--', '75'], ['35', 'Psybeam', 'Psychic', '65', '100'], ['38', 'Sleep Powder', 'Grass', '--', '75'], ['43', 'Psychic', 'Psychic', '90', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
venomoth-1,1,0x669900,"[['1', 'Disable', 'Normal', '--', '100'], ['1', 'Leech Life', 'Bug', '80', '100'], ['1', 'Poison Powder', 'Poison', '--', '75'], ['1', 'Tackle', 'Normal', '40', '100'], ['24', 'Poison Powder', 'Poison', '--', '75'], ['27', 'Leech Life', 'Bug', '80', '100'], ['30', 'Stun Spore', 'Grass', '--', '75'], ['38', 'Psybeam', 'Psychic', '65', '100'], ['43', 'Sleep Powder', 'Grass', '--', '75'], ['50', 'Psychic', 'Psychic', '90', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
diglett-1,1,0xFFCC33,"[['1', 'Scratch', 'Normal', '40', '100'], ['15', 'Growl', 'Normal', '--', '100'], ['19', 'Dig', 'Ground', '80', '100'], ['24', 'Sand Attack', 'Ground', '--', '100'], ['31', 'Slash', 'Normal', '70', '100'], ['40', 'Earthquake', 'Ground', '100', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
dugtrio-1,1,0xFFCC33,"[['1', 'Dig', 'Ground', '80', '100'], ['1', 'Growl', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['15', 'Growl', 'Normal', '--', '100'], ['19', 'Dig', 'Ground', '80', '100'], ['24', 'Sand Attack', 'Ground', '--', '100'], ['35', 'Slash', 'Normal', '70', '100'], ['47', 'Earthquake', 'Ground', '100', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
meowth-1,1,0x999966,"[['1', 'Growl', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['12', 'Bite', 'Dark', '60', '100'], ['17', 'Pay Day', 'Normal', '40', '100'], ['24', 'Screech', 'Normal', '--', '85'], ['33', 'Fury Swipes', 'Normal', '18', '80'], ['44', 'Slash', 'Normal', '70', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
persian-1,1,0x999966,"[['1', 'Bite', 'Dark', '60', '100'], ['1', 'Growl', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['1', 'Screech', 'Normal', '--', '85'], ['12', 'Bite', 'Dark', '60', '100'], ['17', 'Pay Day', 'Normal', '40', '100'], ['24', 'Screech', 'Normal', '--', '85'], ['37', 'Fury Swipes', 'Normal', '18', '80'], ['51', 'Slash', 'Normal', '70', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
psyduck-1,1,0x3399FF,"[['1', 'Scratch', 'Normal', '40', '100'], ['28', 'Tail Whip', 'Normal', '--', '100'], ['31', 'Disable', 'Normal', '--', '100'], ['36', 'Confusion', 'Psychic', '50', '100'], ['43', 'Fury Swipes', 'Normal', '18', '80'], ['52', 'Hydro Pump', 'Water', '110', '80']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
golduck-1,1,0x3399FF,"[['1', 'Disable', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['1', 'Tail Whip', 'Normal', '--', '100'], ['28', 'Tail Whip', 'Normal', '--', '100'], ['31', 'Disable', 'Normal', '--', '100'], ['39', 'Confusion', 'Psychic', '50', '100'], ['48', 'Fury Swipes', 'Normal', '18', '80'], ['59', 'Hydro Pump', 'Water', '110', '80']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
mankey-1,1,0xFF0000,"[['1', 'Leer', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['15', 'Karate Chop', 'Fighting', '50', '100'], ['21', 'Fury Swipes', 'Normal', '18', '80'], ['27', 'Focus Energy', 'Normal', '--', '--'], ['33', 'Seismic Toss', 'Fighting', '--', '100'], ['39', 'Thrash', 'Normal', '120', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
primeape-1,1,0xFF0000,"[['1', 'Fury Swipes', 'Normal', '18', '80'], ['1', 'Karate Chop', 'Fighting', '50', '100'], ['1', 'Leer', 'Normal', '--', '100'], ['1', 'Scratch', 'Normal', '40', '100'], ['15', 'Karate Chop', 'Fighting', '50', '100'], ['21', 'Fury Swipes', 'Normal', '18', '80'], ['27', 'Focus Energy', 'Normal', '--', '--'], ['37', 'Seismic Toss', 'Fighting', '--', '100'], ['46', 'Thrash', 'Normal', '120', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
growlithe-1,1,0xFF6600,"[['1', 'Bite', 'Dark', '60', '100'], ['1', 'Roar', 'Normal', '--', '--'], ['18', 'Ember', 'Fire', '40', '100'], ['23', 'Leer', 'Normal', '--', '100'], ['30', 'Take Down', 'Normal', '90', '85'], ['39', 'Agility', 'Psychic', '--', '--'], ['50', 'Flamethrower', 'Fire', '90', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
arcanine-1,1,0xFF6600,"[['1', 'Ember', 'Fire', '40', '100'], ['1', 'Leer', 'Normal', '--', '100'], ['1', 'Roar', 'Normal', '--', '--'], ['1', 'Take Down', 'Normal', '90', '85']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
poliwag-1,1,0x3399FF,"[['1', 'Bubble', 'Water', '40', '100'], ['16', 'Hypnosis', 'Psychic', '--', '60'], ['19', 'Water Gun', 'Water', '40', '100'], ['25', 'Double Slap', 'Normal', '15', '85'], ['31', 'Body Slam', 'Normal', '85', '100'], ['38', 'Amnesia', 'Psychic', '--', '--'], ['45', 'Hydro Pump', 'Water', '110', '80']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
poliwhirl-1,1,0x3399FF,"[['1', 'Bubble', 'Water', '40', '100'], ['1', 'Hypnosis', 'Psychic', '--', '60'], ['1', 'Water Gun', 'Water', '40', '100'], ['16', 'Hypnosis', 'Psychic', '--', '60'], ['19', 'Water Gun', 'Water', '40', '100'], ['26', 'Double Slap', 'Normal', '15', '85'], ['33', 'Body Slam', 'Normal', '85', '100'], ['41', 'Amnesia', 'Psychic', '--', '--'], ['49', 'Hydro Pump', 'Water', '110', '80']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
poliwrath-1,1,0x3399FF,"[['1', 'Body Slam', 'Normal', '85', '100'], ['1', 'Double Slap', 'Normal', '15', '85'], ['1', 'Hypnosis', 'Psychic', '--', '60'], ['1', 'Water Gun', 'Water', '40', '100'], ['16', 'Hypnosis', 'Psychic', '--', '60'], ['19', 'Water Gun', 'Water', '40', '100']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
abra-1,1,0xFF3399,"[['1', 'Teleport', 'Psychic', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
kadabra-1,1,0xFF3399,"[['1', 'Confusion', 'Psychic', '50', '100'], ['1', 'Disable', 'Normal', '--', '100'], ['1', 'Teleport', 'Psychic', '--', '--'], ['16', 'Confusion', 'Psychic', '50', '100'], ['20', 'Disable', 'Normal', '--', '100'], ['27', 'Psybeam', 'Psychic', '65', '100'], ['31', 'Recover', 'Normal', '--', '--'], ['38', 'Psychic', 'Psychic', '90', '100'], ['42', 'Reflect', 'Psychic', '--', '--']]","['Pokémon Red', 'Pokémon Blue', 'Pokémon Yellow']"
