Item,Category,Effect,Cost,Image
Babiri Berry,Berries,Weakens a supereffective Steel-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/babiri-berry.png
Belue Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/belue-berry.png
Bluk Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/bluk-berry.png
Charti Berry,Berries,Weakens a supereffective Rock-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/charti-berry.png
Cheri Berry,Berries,"If held by a Pokémon, it recovers from paralysis.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/cheri-berry.png
Chesto Berry,Berries,"If held by a Pokémon, it recovers from sleep.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/chesto-berry.png
Chilan Berry,Berries,Weakens a Normal-type attack against the Pokémon holding this berry.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/chilan-berry.png
Chople Berry,Berries,Weakens a supereffective Fighting-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/chople-berry.png
Coba Berry,Berries,Weakens a supereffective Flying-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/coba-berry.png
Colbur Berry,Berries,Weakens a supereffective Dark-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/colbur-berry.png
Cornn Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/cornn-berry.png
Custap Berry,Berries,Holder can move first when HP is low.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/custap-berry.png
Durin Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/durin-berry.png
Enigma Berry,Berries,"If held by a Pokémon, it restores its HP if it is hit by any supereffective attack.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/enigma-berry.png
Figy Berry,Berries,"Restores HP if it's low, but may cause confusion.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/figy-berry.png
Ganlon Berry,Berries,Raises Defense when HP is low.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ganlon-berry.png
Grepa Berry,Berries,"Using it on a Pokémon makes it more friendly, but it also lowers its base Sp. Def stat.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/grepa-berry.png
Haban Berry,Berries,Weakens a supereffective Dragon-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/haban-berry.png
Hondew Berry,Berries,"Using it on a Pokémon makes it more friendly, but it also lowers its base Sp. Atk stat.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hondew-berry.png
Iapapa Berry,Berries,"Restores HP if it's low, but may cause confusion.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/iapapa-berry.png
Jaboca Berry,Berries,"If held by a Pokémon and a physical attack lands, the attacker also takes damage.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/jaboca-berry.png
Kasib Berry,Berries,Weakens a supereffective Ghost-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/kasib-berry.png
Kebia Berry,Berries,Weakens a supereffective Poison-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/kebia-berry.png
Kelpsy Berry,Berries,"Using it on a Pokémon makes it more friendly, but it also lowers its base Attack stat.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/kelpsy-berry.png
Lansat Berry,Berries,Increases critical-hit ratio when HP is low.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lansat-berry.png
Leppa Berry,Berries,"If held by a Pokémon, it restores a move's PP by 10.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/leppa-berry.png
Liechi Berry,Berries,Raises Attack when HP is low.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/liechi-berry.png
Lum Berry,Berries,"If held by a Pokémon, it recovers from any status problem.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lum-berry.png
Mago Berry,Berries,"Restores HP if it's low, but may cause confusion.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mago-berry.png
Magost Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/magost-berry.png
Micle Berry,Berries,Increases a move's accuracy when HP is low.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/micle-berry.png
Nanab Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/nanab-berry.png
Nomel Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/nomel-berry.png
Occa Berry,Berries,Weakens a supereffective Fire-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/occa-berry.png
Oran Berry,Berries,"If held by a Pokémon, it heals the user by just 10 HP.",20,https://cdn.bulbagarden.net/upload/thumb/0/0c/Dream_Oran_Berry_Sprite.png/80px-Dream_Oran_Berry_Sprite.png
Pamtre Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pamtre-berry.png
Passho Berry,Berries,Weakens a supereffective Water-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/passho-berry.png
Payapa Berry,Berries,Weakens a supereffective Psychic-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/payapa-berry.png
Pecha Berry,Berries,"If held by a Pokémon, it recovers from poison.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pecha-berry.png
Persim Berry,Berries,"If held by a Pokémon, it recovers from confusion.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/persim-berry.png
Petaya Berry,Berries,Raises Special Attack when HP is low.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/petaya-berry.png
Pinap Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pinap-berry.png
Pomeg Berry,Berries,"Using it on a Pokémon makes it more friendly, but it also lowers its base HP.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pomeg-berry.png
Qualot Berry,Berries,"Using it on a Pokémon makes it more friendly, but it also lowers its base Defense stat.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/qualot-berry.png
Rabuta Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rabuta-berry.png
Rawst Berry,Berries,"If held by a Pokémon, it recovers from a burn.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rawst-berry.png
Razz Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/razz-berry.png
Rindo Berry,Berries,Weakens a supereffective Grass-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rindo-berry.png
Rowap Berry,Berries,"If held by a Pokémon and a special attack lands, the attacker also takes damage.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rowap-berry.png
Salac Berry,Berries,Raises Speed when HP is low.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/salac-berry.png
Shuca Berry,Berries,Weakens a supereffective Ground-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shuca-berry.png
Sitrus Berry,Berries,"If held by a Pokémon, it heals the user's HP a little.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sitrus-berry.png
Spelon Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/spelon-berry.png
Starf Berry,Berries,Sharply raises a random stat when HP is low.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/starf-berry.png
Tamato Berry,Berries,"Using it on a Pokémon makes it more friendly, but it also lowers its base Speed stat.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tamato-berry.png
Tanga Berry,Berries,Weakens a supereffective Bug-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tanga-berry.png
Wacan Berry,Berries,Weakens a supereffective Electric-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/wacan-berry.png
Watmel Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/watmel-berry.png
Wepear Berry,Berries,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/wepear-berry.png
Wiki Berry,Berries,"Restores HP if it's low, but may cause confusion.",20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/wiki-berry.png
Yache Berry,Berries,Weakens a supereffective Ice-type attack against the holding Pokémon.,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/yache-berry.png
Adventure Rules,General Items,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/adventure-rules.png
Armor Fossil,General Items,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.,1000,https://vignette.wikia.nocookie.net/nintendo/images/e/e8/Armor_Fossil.png/revision/latest?cb=20111019151123&path-prefix=en
Balm Mushroom,General Items,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.,Cannot be purchased,https://vignette.wikia.nocookie.net/pokemon/images/f/fa/Balmmushroom.png/revision/latest?cb=20110404221626
Big Mushroom,General Items,A large and rare mushroom. It is sought after by collectors.,5000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-mushroom.png
Big Nugget,General Items,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.,Cannot be purchased,https://cdn.bulbagarden.net/upload/e/e3/Dream_Big_Nugget_Sprite.png
Big Pearl,General Items,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.,7500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/big-pearl.png
Black Flute,General Items,A toy flute made from black glass. A maniac will buy it for a high price.,400,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/black-flute.png
Black Apricorn,General Items,A black Apricorn It has an indescribable scent.,Cannot be purchased,"http://t01.deviantart.net/pZlxuKMkyG6plYXPHEJElaIFddA=/300x200/filters:fixed_height(100,100):origin()/pre00/3dca/th/pre/f/2013/009/5/e/dream_world_sprite_like_apricorn_vectors_by_ldejruff-d5qjrq3.png"
Blue Apricorn,General Items,A blue Apricorn. It smells a bit like grass.,Cannot be purchased,"http://t01.deviantart.net/pZlxuKMkyG6plYXPHEJElaIFddA=/300x200/filters:fixed_height(100,100):origin()/pre00/3dca/th/pre/f/2013/009/5/e/dream_world_sprite_like_apricorn_vectors_by_ldejruff-d5qjrq3.png"
Blue Flute,General Items,A toy flute made from blue glass. A maniac will buy it for a high price.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-flute.png
Blue Scarf,General Items,Raises holder's Beauty aspect in a Contest.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-scarf.png
Blue Shard,General Items,A small blue shard. It appears to be from some sort of implement made long ago.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-shard.png
Claw Fossil,General Items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.,1000,https://vignette.wikia.nocookie.net/nintendo/images/3/3e/Claw_Fossil.png/revision/latest?cb=20111019151124&path-prefix=en
Comet Shard,General Items,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/comet-shard.png
Cover Fossil,General Items,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.,1000,https://vignette.wikia.nocookie.net/nintendo/images/a/a4/Cover_Fossil.png/revision/latest?cb=20160228172132&path-prefix=en
Damp Mulch,General Items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/damp-mulch.png
Dawn Stone,General Items,A peculiar stone that makes certain species of Pokémon evolve. It sparkles like eyes.,2100,https://cdn.bulbagarden.net/upload/d/de/Dream_Dawn_Stone_Sprite.png
DNA Splicers,General Items,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dna-splicers.png
Dome Fossil,General Items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.,1000,https://cdn.bulbagarden.net/upload/thumb/0/0f/RG_Dome_Fossil.png/120px-RG_Dome_Fossil.png
Dragon Scale,General Items,A thick and tough scale. Dragon-type Pokémon may be holding this item when caught.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dragon-scale.png
Dubious Disc,General Items,A transparent device overflowing with dubious data. Its producer is unknown.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dubious-disc.png
Dusk Stone,General Items,A peculiar stone that makes certain species of Pokémon evolve. It is as dark as dark can be.,2100,https://cdn.bulbagarden.net/upload/f/f2/Dream_Dusk_Stone_Sprite.png
Electirizer,General Items,A box packed with a tremendous amount of electric energy. It is loved by a certain Pokémon.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/electirizer.png
Escape Rope,General Items,"A long, durable rope. Use it to escape instantly from a cave or a dungeon.",550,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/escape-rope.png
Fairy Gem,General Items,Increases the power of a Fairy-type move only once.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fairy-gem.png
Fire Stone,General Items,A peculiar stone that makes certain species of Pokémon evolve. It is colored orange.,2100,https://cdn.bulbagarden.net/upload/9/92/Dream_Fire_Stone_Sprite.png
Fluffy Tail,General Items,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fluffy-tail.png
Gooey Mulch,General Items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gooey-mulch.png
Green Scarf,General Items,Raises holder's Smart aspect in a Contest.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/green-scarf.png
Green Shard,General Items,A small green shard. It appears to be from some sort of implement made long ago.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/green-shard.png
Green Apricorn,General Items,"A green Apricorn. It has a mysterious, aromatic scent.",Cannot be purchased,"http://t01.deviantart.net/pZlxuKMkyG6plYXPHEJElaIFddA=/300x200/filters:fixed_height(100,100):origin()/pre00/3dca/th/pre/f/2013/009/5/e/dream_world_sprite_like_apricorn_vectors_by_ldejruff-d5qjrq3.png"
Growth Mulch,General Items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/growth-mulch.png
Heart Scale,General Items,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.",100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/heart-scale.png
Helix Fossil,General Items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/a/a6/RG_Helix_Fossil.png/120px-RG_Helix_Fossil.png
Holo Caster,General Items,A device that allows users to receive and view hologram clips at any time. It is also used to chat with others.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/holo-caster.png
Honey,General Items,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.",100,https://cdn.bulbagarden.net/upload/0/0d/Dream_Honey_Sprite.png
Leaf Stone,General Items,A peculiar stone that makes certain species of Pokémon evolve. It has a leaf pattern.,2100,https://cdn.bulbagarden.net/upload/b/b3/Dream_Leaf_Stone_Sprite.png
Lens Case,General Items,A rather chic-looking case for carrying contact lenses.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lens-case.png
Magmarizer,General Items,A box packed with a tremendous amount of magma energy. It is loved by a certain Pokémon.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/magmarizer.png
Max Repel,General Items,An item that prevents weak wild Pokémon from appearing for 250 steps after its use.,700,https://cdn.bulbagarden.net/upload/2/2d/Dream_Max_Repel_Sprite.png
Medal Box,General Items,A box-shaped machine that stores Medals and Medal information.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/medal-box.png
Moon Stone,General Items,A peculiar stone that makes certain species of Pokémon evolve. It is as black as the night sky.,2100,https://cdn.bulbagarden.net/upload/3/32/Dream_Moon_Stone_Sprite.png
Nugget,General Items,A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.,10000,https://cdn.bulbagarden.net/upload/5/50/Dream_Nugget_Sprite.png
Odd Keystone,General Items,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/odd-keystone.png
Old Amber,General Items,A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.,1000,https://cdn.bulbagarden.net/upload/thumb/4/4f/RG_Old_Amber.png/120px-RG_Old_Amber.png
Oval Charm,General Items,An oval charm said to increase the chance of Pokémon Eggs being found at the Day Care.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/oval-charm.png
Oval Stone,General Items,A peculiar stone that makes certain species of Pokémon evolve. It is shaped like an egg.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/oval-stone.png
Pearl,General Items,A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.,1400,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pearl.png
Pearl String,General Items,Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pearl-string.png
Permit,General Items,A permit that is needed to enter the Nature Preserve. Not many know about it.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/permit.png
Pink Scarf,General Items,Raises holder's Cute aspect in a Contest.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pink-scarf.png
Plume Fossil,General Items,A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.,1000,https://vignette.wikia.nocookie.net/nintendo/images/3/3e/Plume_Fossil.png/revision/latest?cb=20160228163721&path-prefix=en
Pink Apricorn,General Items,"A pink Apricorn. It has a nice, sweet scent.",Cannot be purchased,"http://t01.deviantart.net/pZlxuKMkyG6plYXPHEJElaIFddA=/300x200/filters:fixed_height(100,100):origin()/pre00/3dca/th/pre/f/2013/009/5/e/dream_world_sprite_like_apricorn_vectors_by_ldejruff-d5qjrq3.png"
Poke Doll,General Items,A doll that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,1000,https://cdn.bulbagarden.net/upload/a/aa/Dream_Pok%C3%A9_Doll_Sprite.png
Poke Toy,General Items,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,1000,https://cdn.bulbagarden.net/upload/5/52/Dream_Pok%C3%A9_Toy_Sprite.png
Pretty Wing,General Items,"Though this feather is beautiful, it's just a regular feather and has no effect on Pokémon.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pretty-wing.png
Prism Scale,General Items,A mysterious scale that evolves certain Pokémon. It shines in rainbow colors.,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/prism-scale.png
Protector,General Items,A protective item of some sort. It is extremely stiff and heavy. It is loved by a certain Pokémon.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/protector.png
Rare Bone,General Items,A bone that is extremely valuable for Pokémon archeology. It can be sold for a high price to shops.,10000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rare-bone.png
Reaper Cloth,General Items,A cloth imbued with horrifyingly strong spiritual energy. It is loved by a certain Pokémon.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/reaper-cloth.png
Red Apricorn,General Items,A red Apricorn. It assails your nostrils.,Cannot be purchased,"http://t01.deviantart.net/pZlxuKMkyG6plYXPHEJElaIFddA=/300x200/filters:fixed_height(100,100):origin()/pre00/3dca/th/pre/f/2013/009/5/e/dream_world_sprite_like_apricorn_vectors_by_ldejruff-d5qjrq3.png"
Red Flute,General Items,A toy flute made from red glass. A maniac will buy it for a high price.,300,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-flute.png
